,docs_code,docs_title,article_index,subject_title
12746,96/2021/NĐ-CP,Nghị định số 96/2021/NĐ-CP,Điều 5,Hàng không dân dụng Việt Nam
12750,96/2021/NĐ-CP,Nghị định số 96/2021/NĐ-CP,Điều 9,Hàng không dân dụng Việt Nam
12792,25/2022/TT-BGTVT,Thông tư số 25/2022/TT-BGTVT,Điều 41,Hàng không dân dụng Việt Nam
12793,25/2022/TT-BGTVT,Thông tư số 25/2022/TT-BGTVT,Điều 42,Hàng không dân dụng Việt Nam
12815,159/2006/QĐ-BQP,Quyết định số 159/2006/QĐ-BQP,Điều 1,Hàng không dân dụng Việt Nam
12818,66/2006/QH11,Luật số 66/2006/QH11,Điều 87,Hàng không dân dụng Việt Nam
12845,66/2006/QH11,Luật số 66/2006/QH11,Điều 94,Hàng không dân dụng Việt Nam
12847,125/2015/NĐ-CP,Nghị định số 125/2015/NĐ-CP,Điều 32,Hàng không dân dụng Việt Nam
12848,125/2015/NĐ-CP,Nghị định số 125/2015/NĐ-CP,Điều 33,Hàng không dân dụng Việt Nam
12849,100/2004/QĐ-BQP,Quyết định số 100/2004/QĐ-BQP,Điều 1,Hàng không dân dụng Việt Nam
12852,01/2012/TTLT-BTTTT-BGTVT,Thông tư liên tịch số 01/2012/TTLT-BTTTT-BGTVT,Điều 4,Hàng không dân dụng Việt Nam
12861,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 5,Hàng không dân dụng Việt Nam
12899,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 169,Hàng không dân dụng Việt Nam
12901,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 171,Hàng không dân dụng Việt Nam
12965,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 82,Hàng không dân dụng Việt Nam
12993,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 110,Hàng không dân dụng Việt Nam
13029,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 191,Hàng không dân dụng Việt Nam
13034,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 196,Hàng không dân dụng Việt Nam
13038,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 200,Hàng không dân dụng Việt Nam
13039,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 201,Hàng không dân dụng Việt Nam
13040,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 202,Hàng không dân dụng Việt Nam
13041,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 203,Hàng không dân dụng Việt Nam
13052,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 214,Hàng không dân dụng Việt Nam
13057,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 220,Hàng không dân dụng Việt Nam
13069,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 232,Hàng không dân dụng Việt Nam
13072,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 235,Hàng không dân dụng Việt Nam
13073,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 236,Hàng không dân dụng Việt Nam
13093,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 256,Hàng không dân dụng Việt Nam
13140,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 303,Hàng không dân dụng Việt Nam
13151,19/2017/TT-BGTVT,Thông tư số 19/2017/TT-BGTVT,Điều 314,Hàng không dân dụng Việt Nam
13470,13/2019/TT-BGTVT,Thông tư số 13/2019/TT-BGTVT,Điều 92,Hàng không dân dụng Việt Nam
13521,13/2019/TT-BGTVT,Thông tư số 13/2019/TT-BGTVT,Điều 64,Hàng không dân dụng Việt Nam
13563,92/2015/NĐ-CP,Nghị định số 92/2015/NĐ-CP,Điều 29,Hàng không dân dụng Việt Nam
13591,18/2015/TT-BGTVT,Thông tư số 18/2015/TT-BGTVT,Điều 8,Hàng không dân dụng Việt Nam
13614,43/2017/TT-BGTVT,Thông tư số 43/2017/TT-BGTVT,Điều 39,Hàng không dân dụng Việt Nam
13616,43/2017/TT-BGTVT,Thông tư số 43/2017/TT-BGTVT,Điều 41,Hàng không dân dụng Việt Nam
13617,43/2017/TT-BGTVT,Thông tư số 43/2017/TT-BGTVT,Điều 42,Hàng không dân dụng Việt Nam
13656,110/2011/NĐ-CP,Nghị định số 110/2011/NĐ-CP,Điều 34,Hàng không dân dụng Việt Nam
13657,110/2011/NĐ-CP,Nghị định số 110/2011/NĐ-CP,Điều 35,Hàng không dân dụng Việt Nam
13662,89/2019/NĐ-CP,Nghị định số 89/2019/NĐ-CP,Điều 4,Hàng không dân dụng Việt Nam
13670,07/2019/NĐ-CP,Nghị định số 07/2019/NĐ-CP,Điều 3,Hàng không dân dụng Việt Nam
13682,97/2020/NĐ-CP,Nghị định số 97/2020/NĐ-CP,Điều 4,Hàng không dân dụng Việt Nam
13713,42/2011/TT-BGTVT,Thông tư số 42/2011/TT-BGTVT,Điều 8,Hàng không dân dụng Việt Nam
13715,01/2012/TTLT-BTTTT-BGTVT,Thông tư liên tịch số 01/2012/TTLT-BTTTT-BGTVT,Điều 11,Hàng không dân dụng Việt Nam
13723,34/2014/TT-BGTVT,Thông tư số 34/2014/TT-BGTVT,Điều 2,Hàng không dân dụng Việt Nam
13727,27/2017/TT-BGTVT,Thông tư số 27/2017/TT-BGTVT,Điều 3,Hàng không dân dụng Việt Nam
13736,85/2015/TT-BGTVT,Thông tư số 85/2015/TT-BGTVT,Điều 19,Hàng không dân dụng Việt Nam
13738,07/2016/TTLT-BGTVT-BCA-BQP,Thông tư liên tịch số 07/2016/TTLT-BGTVT-BCA-BQP,Điều 11,Hàng không dân dụng Việt Nam
13770,42/2023/TT-BGTVT,Thông tư số 42/2023/TT-BGTVT,Điều 4,Hàng không dân dụng Việt Nam
13772,22/2020/TT-BGTVT,Thông tư số 22/2020/TT-BGTVT,Điều 14,Hàng không dân dụng Việt Nam
13779,52/2023/TT-BGTVT,Thông tư số 52/2023/TT-BGTVT,Điều 3,Hàng không dân dụng Việt Nam
13828,23/2015/NĐ-CP,Nghị định số 23/2015/NĐ-CP,Điều 49,"Cấp bản sao từ sổ gốc, chứng thực bản sao từ bản chính, chứng thực chữ ký"
14787,198/2012/TT-BTC,Thông tư số 198/2012/TT-BTC,Điều 5,Kế toán
14988,200/2014/TT-BTC,Thông tư số 200/2014/TT-BTC,Điều 130,Kế toán
15017,334/2016/TT-BTC,Thông tư số 334/2016/TT-BTC,Điều 2,Kế toán
15119,181/2015/TT-BTC,Thông tư số 181/2015/TT-BTC,Điều 5,Kế toán
15621,05/2019/NĐ-CP,Nghị định số 05/2019/NĐ-CP,Điều 31,Kế toán
15703,67/2015/TT-BTC,Thông tư số 67/2015/TT-BTC,Điều 1,Kiểm toán độc lập
15901,67/2011/QH12,Luật số 67/2011/QH12,Điều 63,Kiểm toán độc lập
15904,17/2012/NĐ-CP,Nghị định số 17/2012/NĐ-CP,Điều 23,Kiểm toán độc lập
15935,81/2015/QH13,Luật số 81/2015/QH13,Điều 2,Kiểm toán Nhà nước
15939,01/2025/TTLT-KTNN-VKSNDTC-BCA-BQP,Thông tư liên tịch số 01/2025/TTLT-KTNN-VKSNDTC-BCA-BQP,Điều 2,Kiểm toán Nhà nước
15942,81/2015/QH13,Luật số 81/2015/QH13,Điều 5,Kiểm toán Nhà nước
15985,81/2015/QH13,Luật số 81/2015/QH13,Điều 37,Kiểm toán Nhà nước
15992,81/2015/QH13,Luật số 81/2015/QH13,Điều 44,Kiểm toán Nhà nước
16043,66/2018/NĐ-CP,Nghị định số 66/2018/NĐ-CP,Điều 6,Kiểm toán Nhà nước
16067,01/2025/TTLT-KTNN-VKSNDTC-BCA-BQP,Thông tư liên tịch số 01/2025/TTLT-KTNN-VKSNDTC-BCA-BQP,Điều 8,Kiểm toán Nhà nước
16233,03/2021/TT-TTCP,Thông tư số 03/2021/TT-TTCP,Điều 3,"Phòng, chống tham nhũng"
16246,27/2024/TT-BTC,Thông tư số 27/2024/TT-BTC,Điều 5,"Phòng, chống tham nhũng"
16252,10/2014/TT-TTCP,Thông tư số 10/2014/TT-TTCP,Điều 2,"Phòng, chống tham nhũng"
16268,36/2018/QH14,Luật số 36/2018/QH14,Điều 34,"Phòng, chống tham nhũng"
16535,06/2013/TTLT-BKHCN-BCT-BCA-BGTVT,Thông tư liên tịch số 06/2013/TTLT-BKHCN-BCT-BCA-BGTVT,Điều 2,"Chất lượng sản phẩm, hàng hóa"
16561,90/2024/TT-BCA,Thông tư số 90/2024/TT-BCA,Điều 2,"Chất lượng sản phẩm, hàng hóa"
16644,06/2009/TT-BKHCN,Thông tư số 06/2009/TT-BKHCN,Điều 10,"Chất lượng sản phẩm, hàng hóa"
16672,06/2020/TT-BKHCN,Thông tư số 06/2020/TT-BKHCN,Điều 21,"Chất lượng sản phẩm, hàng hóa"
16680,15/2022/TT-BKHCN,Thông tư số 15/2022/TT-BKHCN,Điều 48,"Chất lượng sản phẩm, hàng hóa"
16699,06/2021/TT-BKHCN,Thông tư số 06/2021/TT-BKHCN,Điều 1,Chuyển giao công nghệ
16863,07/2017/QH14,Luật số 07/2017/QH14,Điều 45,Chuyển giao công nghệ
16947,79/2014/TTLT-BTC-BKHCN,Thông tư liên tịch số 79/2014/TTLT-BTC-BKHCN,Điều 16,Chuyển giao công nghệ
17187,74/2017/NĐ-CP,Nghị định số 74/2017/NĐ-CP,Điều 2,Công nghệ cao
17229,105/2016/NĐ-CP,Nghị định số 105/2016/NĐ-CP,Điều 2,Đo lường
17237,28/2013/TT-BKHCN,Thông tư số 28/2013/TT-BKHCN,Điều 2,Đo lường
17239,21/2014/TT-BKHCN,Thông tư số 21/2014/TT-BKHCN,Điều 2,Đo lường
17266,02/2019/TT-BQP,Thông tư số 02/2019/TT-BQP,Điều 31,Đo lường
17275,04/2011/QH13,Luật số 04/2011/QH13,Điều 12,Đo lường
17333,24/2013/TT-BKHCN,Thông tư số 24/2013/TT-BKHCN,Điều 34,Đo lường
17431,23/2013/TT-BKHCN,Thông tư số 23/2013/TT-BKHCN,Điều 24,Đo lường
17446,28/2013/TT-BKHCN,Thông tư số 28/2013/TT-BKHCN,Điều 22,Đo lường
17483,28/2013/TT-BKHCN,Thông tư số 28/2013/TT-BKHCN,Điều 23,Đo lường
17556,14/2013/TT-BKHCN,Thông tư số 14/2013/TT-BKHCN,Điều 24,Đo lường
17563,24/2013/TT-BKHCN,Thông tư số 24/2013/TT-BKHCN,Điều 50,Đo lường
17568,21/2014/TT-BKHCN,Thông tư số 21/2014/TT-BKHCN,Điều 30,Đo lường
17572,06/2017/TT-BKHCN,Thông tư số 06/2017/TT-BKHCN,Điều 17,Đo lường
17574,11/2018/TT-BKHCN,Thông tư số 11/2018/TT-BKHCN,Điều 9,Đo lường
17575,02/2019/TT-BQP,Thông tư số 02/2019/TT-BQP,Điều 36,Đo lường
17768,68/2006/QH11,Luật số 68/2006/QH11,Điều 24,Tiêu chuẩn và quy chuẩn kỹ thuật
17769,11/2021/TT-BKHCN,Thông tư số 11/2021/TT-BKHCN,Điều 10,Tiêu chuẩn và quy chuẩn kỹ thuật
17875,68/2006/QH11,Luật số 68/2006/QH11,Điều 50,Tiêu chuẩn và quy chuẩn kỹ thuật
17878,68/2006/QH11,Luật số 68/2006/QH11,Điều 53,Tiêu chuẩn và quy chuẩn kỹ thuật
17948,68/2006/QH11,Luật số 68/2006/QH11,Điều 70,Tiêu chuẩn và quy chuẩn kỹ thuật
18068,17/2023/TT-BLĐTBXH,Thông tư số 17/2023/TT-BLĐTBXH,Điều 3,Lao động
18748,61/2015/NĐ-CP,Nghị định số 61/2015/NĐ-CP,Điều 34,Việc làm
18898,23/2021/NĐ-CP,Nghị định số 23/2021/NĐ-CP,Điều 10,Việc làm
19017,31/2015/NĐ-CP,Nghị định số 31/2015/NĐ-CP,Điều 37,Việc làm
19032,56/2015/TT-BLĐTBXH,Thông tư số 56/2015/TT-BLĐTBXH,Điều 21,Việc làm
19043,16/2022/TT-BLĐTBXH,Thông tư số 16/2022/TT-BLĐTBXH,Điều 2,Việc làm
19188,84/2015/QH13,Luật số 84/2015/QH13,Điều 93,"An toàn, vệ sinh lao động"
19200,20/2011/TT-BLĐTBXH,Thông tư số 20/2011/TT-BLĐTBXH,Điều 2,"An toàn, vệ sinh lao động"
19234,48/2015/TT-BLĐTBXH,Thông tư số 48/2015/TT-BLĐTBXH,Điều 2,"An toàn, vệ sinh lao động"
19236,51/2015/TT-BLĐTBXH,Thông tư số 51/2015/TT-BLĐTBXH,Điều 2,"An toàn, vệ sinh lao động"
19265,117/2016/TT-BQP,Thông tư số 117/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19266,117/2016/TT-BQP,Thông tư số 117/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19267,118/2016/TT-BQP,Thông tư số 118/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19268,118/2016/TT-BQP,Thông tư số 118/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19269,119/2016/TT-BQP,Thông tư số 119/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19270,119/2016/TT-BQP,Thông tư số 119/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19271,120/2016/TT-BQP,Thông tư số 120/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19272,120/2016/TT-BQP,Thông tư số 120/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19273,121/2016/TT-BQP,Thông tư số 121/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19274,121/2016/TT-BQP,Thông tư số 121/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19275,122/2016/TT-BQP,Thông tư số 122/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19276,122/2016/TT-BQP,Thông tư số 122/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19277,123/2016/TT-BQP,Thông tư số 123/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19278,123/2016/TT-BQP,Thông tư số 123/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19279,124/2016/TT-BQP,Thông tư số 124/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19280,124/2016/TT-BQP,Thông tư số 124/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19281,125/2016/TT-BQP,Thông tư số 125/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19282,125/2016/TT-BQP,Thông tư số 125/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19283,126/2016/TT-BQP,Thông tư số 126/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19284,126/2016/TT-BQP,Thông tư số 126/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19285,127/2016/TT-BQP,Thông tư số 127/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19286,127/2016/TT-BQP,Thông tư số 127/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19287,128/2016/TT-BQP,Thông tư số 128/2016/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19288,128/2016/TT-BQP,Thông tư số 128/2016/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19291,50/2016/TT-BLĐTBXH,Thông tư số 50/2016/TT-BLĐTBXH,Điều 2,"An toàn, vệ sinh lao động"
19299,29/2016/TT-BXD,Thông tư số 29/2016/TT-BXD,Điều 4,"An toàn, vệ sinh lao động"
19307,10/2017/TT-BQP,Thông tư số 10/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19316,184/2017/TT-BQP,Thông tư số 184/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19318,185/2017/TT-BQP,Thông tư số 185/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19322,197/2017/TT-BQP,Thông tư số 197/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19323,197/2017/TT-BQP,Thông tư số 197/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19324,198/2017/TT-BQP,Thông tư số 198/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19325,198/2017/TT-BQP,Thông tư số 198/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19326,199/2017/TT-BQP,Thông tư số 199/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19327,199/2017/TT-BQP,Thông tư số 199/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19328,200/2017/TT-BQP,Thông tư số 200/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19329,200/2017/TT-BQP,Thông tư số 200/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19330,201/2017/TT-BQP,Thông tư số 201/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19331,201/2017/TT-BQP,Thông tư số 201/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19332,202/2017/TT-BQP,Thông tư số 202/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19333,202/2017/TT-BQP,Thông tư số 202/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19334,203/2017/TT-BQP,Thông tư số 203/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19335,203/2017/TT-BQP,Thông tư số 203/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19336,204/2017/TT-BQP,Thông tư số 204/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19337,204/2017/TT-BQP,Thông tư số 204/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19338,205/2017/TT-BQP,Thông tư số 205/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19339,205/2017/TT-BQP,Thông tư số 205/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19340,206/2017/TT-BQP,Thông tư số 206/2017/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19341,206/2017/TT-BQP,Thông tư số 206/2017/TT-BQP,Điều 3,"An toàn, vệ sinh lao động"
19352,42/2018/TT-BLĐTBXH,Thông tư số 42/2018/TT-BLĐTBXH,Điều 2,"An toàn, vệ sinh lao động"
19369,114/2020/TT-BQP,Thông tư số 114/2020/TT-BQP,Điều 2,"An toàn, vệ sinh lao động"
19374,08/2021/TT-BLĐTBXH,Thông tư số 08/2021/TT-BLĐTBXH,Điều 2,"An toàn, vệ sinh lao động"
19384,153/2021/TT-BQP,Thông tư số 153/2021/TT-BQP,Điều 18,"An toàn, vệ sinh lao động"
19477,20/2008/QH12,Luật số 20/2008/QH12,Điều 60,Đa dạng sinh học
19556,34/2016/TT-NHNN,Thông tư số 34/2016/TT-NHNN,Điều 2,Bảo hiểm tiền gửi
19564,06/2012/QH13,Luật số 06/2012/QH13,Điều 8,Bảo hiểm tiền gửi
19663,06/2012/QH13,Luật số 06/2012/QH13,Điều 38,Bảo hiểm tiền gửi
19664,06/2012/QH13,Luật số 06/2012/QH13,Điều 39,Bảo hiểm tiền gửi
19665,89/1999/NĐ-CP,Nghị định số 89/1999/NĐ-CP,Điều 22,Bảo hiểm tiền gửi
19666,89/1999/NĐ-CP,Nghị định số 89/1999/NĐ-CP,Điều 23,Bảo hiểm tiền gửi
19675,34/2016/TT-NHNN,Thông tư số 34/2016/TT-NHNN,Điều 13,Bảo hiểm tiền gửi
19807,49/2005/QH11,Luật số 49/2005/QH11,Điều 75,Các công cụ chuyển nhượng
19826,46/2010/QH12,Luật số 46/2010/QH12,Điều 1,Ngân hàng Nhà nước Việt Nam
19832,40/2012/NĐ-CP,Nghị định số 40/2012/NĐ-CP,Điều 2,Ngân hàng Nhà nước Việt Nam
19836,16/2014/NĐ-CP,Nghị định số 16/2014/NĐ-CP,Điều 2,Ngân hàng Nhà nước Việt Nam
19843,40/2012/QĐ-TTG,Quyết định số 40/2012/QĐ-TTg,Điều 2,Ngân hàng Nhà nước Việt Nam
19862,03/2013/TT-NHNN,Thông tư số 03/2013/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19875,02/2014/TT-NHNN,Thông tư số 02/2014/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19887,48/2014/TT-NHNN,Thông tư số 48/2014/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19891,03/2015/TT-NHNN,Thông tư số 03/2015/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19901,19/2016/TT-NHNN,Thông tư số 19/2016/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19903,26/2016/TT-NHNN,Thông tư số 26/2016/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19917,20/2018/TT-NHNN,Thông tư số 20/2018/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19919,09/2019/TT-NHNN,Thông tư số 09/2019/TT-NHNN,Điều 1,Ngân hàng Nhà nước Việt Nam
19942,01/2024/TT-NHNN,Thông tư số 01/2024/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19944,04/2024/TT-NHNN,Thông tư số 04/2024/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19946,07/2024/TT-NHNN,Thông tư số 07/2024/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
19996,22/2006/QĐ-NHNN,Quyết định số 22/2006/QĐ-NHNN,Điều 1,Ngân hàng Nhà nước Việt Nam
20182,17/2023/TT-NHNN,Thông tư số 17/2023/TT-NHNN,Điều 17,Ngân hàng Nhà nước Việt Nam
20241,61/2000/QĐ-NHNN9,Quyết định số 61/2000/QĐ-NHNN9,Điều 1,Ngân hàng Nhà nước Việt Nam
20347,42/2015/TT-NHNN,Thông tư số 42/2015/TT-NHNN,Điều 11,Ngân hàng Nhà nước Việt Nam
20381,01/2024/TT-NHNN,Thông tư số 01/2024/TT-NHNN,Điều 8,Ngân hàng Nhà nước Việt Nam
20383,46/2010/QH12,Luật số 46/2010/QH12,Điều 18,Ngân hàng Nhà nước Việt Nam
20408,23/2012/TT-NHNN,Thông tư số 23/2012/TT-NHNN,Điều 12,Ngân hàng Nhà nước Việt Nam
20491,02/2014/TT-NHNN,Thông tư số 02/2014/TT-NHNN,Điều 8,Ngân hàng Nhà nước Việt Nam
20531,19/2023/TT-NHNN,Thông tư số 19/2023/TT-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
20575,40/2012/NĐ-CP,Nghị định số 40/2012/NĐ-CP,Điều 12,Ngân hàng Nhà nước Việt Nam
20655,46/2010/QH12,Luật số 46/2010/QH12,Điều 23,Ngân hàng Nhà nước Việt Nam
20672,28/2013/TT-NHNN,Thông tư số 28/2013/TT-NHNN,Điều 13,Ngân hàng Nhà nước Việt Nam
20740,46/2010/QH12,Luật số 46/2010/QH12,Điều 28,Ngân hàng Nhà nước Việt Nam
20754,222/2013/NĐ-CP,Nghị định số 222/2013/NĐ-CP,Điều 11,Ngân hàng Nhà nước Việt Nam
20923,37/2016/TT-NHNN,Thông tư số 37/2016/TT-NHNN,Điều 48,Ngân hàng Nhà nước Việt Nam
20976,23/2008/QĐ-NHNN,Quyết định số 23/2008/QĐ-NHNN,Điều 1,Ngân hàng Nhà nước Việt Nam
21000,07/2013/QĐ-TTG,Quyết định số 07/2013/QĐ-TTg,Điều 1,Ngân hàng Nhà nước Việt Nam
21001,1710/2005/QĐ-NHNN,Quyết định số 1710/2005/QĐ-NHNN,Điều 1,Ngân hàng Nhà nước Việt Nam
21053,1789/2005/QĐ-NHNN,Quyết định số 1789/2005/QĐ-NHNN,Điều 1,Ngân hàng Nhà nước Việt Nam
21221,26/2014/NĐ-CP,Nghị định số 26/2014/NĐ-CP,Điều 26,Ngân hàng Nhà nước Việt Nam
21228,15/2000/QĐ-NHNN4,Quyết định số 15/2000/QĐ-NHNN4,Điều 1,Ngân hàng Nhà nước Việt Nam
21267,46/2010/QH12,Luật số 46/2010/QH12,Điều 65,Ngân hàng Nhà nước Việt Nam
21270,10/2010/NĐ-CP,Nghị định số 10/2010/NĐ-CP,Điều 21,Ngân hàng Nhà nước Việt Nam
21354,41/2006/QĐ-NHNN,Quyết định số 41/2006/QĐ-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
21358,24/2018/TT-NHNN,Thông tư số 24/2018/TT-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
21383,34/2012/TT-NHNN,Thông tư số 34/2012/TT-NHNN,Điều 32,Ngân hàng Nhà nước Việt Nam
21385,36/2012/TT-NHNN,Thông tư số 36/2012/TT-NHNN,Điều 12,Ngân hàng Nhà nước Việt Nam
21400,33/2018/TT-NHNN,Thông tư số 33/2018/TT-NHNN,Điều 6,Ngân hàng Nhà nước Việt Nam
21402,15/2020/TT-NHNN,Thông tư số 15/2020/TT-NHNN,Điều 4,Ngân hàng Nhà nước Việt Nam
21414,37/2018/TT-NHNN,Thông tư số 37/2018/TT-NHNN,Điều 2,Ngân hàng Nhà nước Việt Nam
21415,37/2018/TT-NHNN,Thông tư số 37/2018/TT-NHNN,Điều 20,Ngân hàng Nhà nước Việt Nam
21422,12/2017/TT-NHNN,Thông tư số 12/2017/TT-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
21429,33/2014/TT-NHNN,Thông tư số 33/2014/TT-NHNN,Điều 8,Ngân hàng Nhà nước Việt Nam
21431,35/2014/TT-NHNN,Thông tư số 35/2014/TT-NHNN,Điều 5,Ngân hàng Nhà nước Việt Nam
21434,27/2019/TT-NHNN,Thông tư số 27/2019/TT-NHNN,Điều 4,Ngân hàng Nhà nước Việt Nam
21437,39/2014/TT-NHNN,Thông tư số 39/2014/TT-NHNN,Điều 21,Ngân hàng Nhà nước Việt Nam
21443,47/2014/TT-NHNN,Thông tư số 47/2014/TT-NHNN,Điều 21,Ngân hàng Nhà nước Việt Nam
21465,09/2021/TT-NHNN,Thông tư số 09/2021/TT-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
21470,30/2016/TT-NHNN,Thông tư số 30/2016/TT-NHNN,Điều 5,Ngân hàng Nhà nước Việt Nam
21474,41/2018/TT-NHNN,Thông tư số 41/2018/TT-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
21487,10/2019/TT-NHNN,Thông tư số 10/2019/TT-NHNN,Điều 3,Ngân hàng Nhà nước Việt Nam
21501,20/2018/TT-NHNN,Thông tư số 20/2018/TT-NHNN,Điều 16,Ngân hàng Nhà nước Việt Nam
21505,09/2019/TT-NHNN,Thông tư số 09/2019/TT-NHNN,Điều 12,Ngân hàng Nhà nước Việt Nam
21512,07/2020/TT-NHNN,Thông tư số 07/2020/TT-NHNN,Điều 15,Ngân hàng Nhà nước Việt Nam
21518,10/2021/TT-NHNN,Thông tư số 10/2021/TT-NHNN,Điều 10,Ngân hàng Nhà nước Việt Nam
21526,17/2023/TT-NHNN,Thông tư số 17/2023/TT-NHNN,Điều 21,Ngân hàng Nhà nước Việt Nam
21532,23/2023/TT-NHNN,Thông tư số 23/2023/TT-NHNN,Điều 12,Ngân hàng Nhà nước Việt Nam
21542,28/2005/PL-UBTVQH11,Pháp lệnh số 28/2005/PL-UBTVQH11,Điều 1,Ngoại hối
22040,28/2005/PL-UBTVQH11,Pháp lệnh số 28/2005/PL-UBTVQH11,Điều 33,Ngoại hối
22172,28/2005/PL-UBTVQH11,Pháp lệnh số 28/2005/PL-UBTVQH11,Điều 40,Ngoại hối
